"","ativo","base","id","Model","Mean.Hits","Var.Hits"
"61","11 - SPX - final","train",5,"linearGARCH",0.0533481981981982,1.19166759837011e-05
"62","11 - SPX - final","train",6,"linearGARCHmu",0.0489353353353353,8.81409567651721e-05
"63","11 - SPX - final","train",7,"GJRGARCH",0.0537813813813814,9.47548103449754e-06
"64","11 - SPX - final","train",8,"GJRGARCHmu",0.0471605105105105,7.34835251706369e-05
"65","11 - SPX - final","train",9,"linearTGARCH",0.0528870870870871,1.1906462911739e-05
"66","11 - SPX - final","train",10,"linearTGARCHmu",0.0694751751751752,0.000122516346974962
"67","11 - SPX - final","train",11,"TCAV",0.0423740740740741,2.05629097274393e-05
"68","11 - SPX - final","train",12,"rangeValue",0.0496804304304304,0.000297472915950002
"69","11 - SPX - final","train",13,"trigGARCH",0.0688041541541542,8.28583703070287e-05
"70","11 - SPX - final","train",14,"trvGARCH",0.0487272272272272,3.49313628513513e-05
"71","11 - SPX - final","valid",1,"Adaptive",0.046614953271028,2.08175839028405e-06
"72","11 - SPX - final","valid",2,"symmetricAbs",0.0455209112149533,1.48886762542263e-05
"73","11 - SPX - final","valid",3,"IndirectGARCH",0.0253019859813084,1.70723557405821e-05
"74","11 - SPX - final","valid",4,"standardGARCHmu",0.0128571261682243,1.55395596626313e-05
"75","11 - SPX - final","valid",5,"linearGARCH",0.0455338785046729,1.48971172848422e-05
"76","11 - SPX - final","valid",6,"linearGARCHmu",0.0123695093457944,1.02108392107061e-05
"77","11 - SPX - final","valid",7,"GJRGARCH",0.0415366822429907,1.4338222861185e-05
"78","11 - SPX - final","valid",8,"GJRGARCHmu",0.0117268691588785,1.25955140696233e-05
"79","11 - SPX - final","valid",9,"linearTGARCH",0.0451740654205607,1.49366592136665e-05
"80","11 - SPX - final","valid",10,"linearTGARCHmu",0.0210844626168224,2.06527913446913e-05
"81","11 - SPX - final","valid",11,"TCAV",0.0398417056074766,1.40088418018786e-05
"82","11 - SPX - final","valid",12,"rangeValue",0.019317523364486,2.77782027603879e-05
"83","11 - SPX - final","valid",13,"trigGARCH",0.0866676401869159,5.96025421648003e-05
"84","11 - SPX - final","valid",14,"trvGARCH",0.0605303738317757,2.74058054252129e-05
"85","12 - NDX - final","train",1,"Adaptive",0.0681722222222222,1.27900563178785e-05
"86","12 - NDX - final","train",2,"symmetricAbs",0.0560756756756757,1.30013756671421e-05
"87","12 - NDX - final","train",3,"IndirectGARCH",0.0418795295295295,2.05013793141604e-05
"88","12 - NDX - final","train",4,"standardGARCHmu",0.0498658658658659,0.000107178060705703
"89","12 - NDX - final","train",5,"linearGARCH",0.0560376876876877,1.29913385370057e-05
"90","12 - NDX - final","train",6,"linearGARCHmu",0.0374117617617618,6.61421196550019e-05
"91","12 - NDX - final","train",7,"GJRGARCH",0.0530154154154154,8.77988970726637e-06
"92","12 - NDX - final","train",8,"GJRGARCHmu",0.0396857857857858,6.52838127938654e-05
"93","12 - NDX - final","train",9,"linearTGARCH",0.0559888888888889,1.27640857113979e-05
